Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Kolte Patil Equa Wagholi,2,Kolte Patil Equa Wagholi,15,635,889,5100000,5737
iLife Upper NIBM,3,iLife Upper NIBM,15,1025,1435,7900000,5505
VTP Dolce Vita,3,EON Free Zone,33,1245,1560,12300000,7885
Lodha Estilo,4,Lodha Estilo,27,1819,2456,29500000,12011
Cloud 51,3,Cloud 51,21,1049,1380,11500000,8333
K City,3,K City,13,980,1332,9200000,6907
Osian One and Only,3,Osian One and Only,12,1170,1579,14100000,8930
Yoo Pune,4,Yoo,19,4000,5300,95000000,17925
Dosti Greenscapes,2,Dosti Greenscapes,21,858,1201,9800000,8160
Yash Orchid,2,Yash Orchid,9,850,1290,12000000,9302
Yoo Pune,4,Yoo,20,5626,5626,76000000,13509
Venezia Apartments,2,Venezia Apartments,18,808,1050,8980000,8550
Mahindra Happinest,2,Mahindra Happinest,31,702,948,7400000,7809
Yashada Jubilee Hills,3,Yashada Jubilee Hills,18,1150,1500,15000000,10000
Raheja Stellar,4,Raheja Stellar,29,2685,3800,34000000,8947
Bramha the Collection,4,Bramha the Collection,22,1854,2198,27300000,12419
Riverdale Grove,2,Riverdale Grove,26,737,1080,10000000,9259
Gagan Adira,2,Gagan Adira,12,815,930,7500000,8065
ARV New Town,3,ARV New Town,15,839,1090,5700000,5229
Megapolis Serenity,2,Megapolis Serenity,19,698,1271,6050000,4760
Park Titan,3,Marunji,23,985,1329,9310000,7005
K Shire,2,Punawale,20,800,1066,6900000,6473
Rohan Ekam,3,Rohan Ekam,30,1400,1987,20500000,10317
Chandrangan Revanta,2,Chandrangan Revanta,7,759,1047,6210000,5931
Belmac Residences,3,Belmac Residences,20,1350,1600,24900000,15562
Ashiana Malhar,2,Ashiana Malhar,14,733,989,6600000,6673
Sagitarius Bluegrass Residences,4,Sagitarius Bluegrass Residences,24,2212,3000,50000000,16667
Pride Purple Park Titan,2,Pride Purple Park Titan,22,780,950,7500000,7895
Mahindra Happinest Tathawade Phase 1,4,Mahindra Happinest Tathawade Phase 1,22,1197,1995,13500000,6767
Godrej Urban Retreat,3,Godrej Urban Retreat,27,855,1300,9250000,7115
Mangalam Life Park,2,Mangalam Life Park,14,653,915,4060000,4439
Clover Acropolis,3,Clover Acropolis,8,1328,1650,24100000,14606
Civcon Residency,3,Civcon Residency,10,1100,1500,19500000,13000
