Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
,2 BHK Apartment for Sale in Borhade Wadi Pune,,₹40 Lac,"₹5,510 per sqft",4 out of 7
Hues Of Sky,"3 BHK Apartment for Sale in Hues Of Sky, Ghorpadi Pune",1243 sqft,₹2.35 Cr,,10 out of 25
,3 BHK Apartment for Sale in Sector 29 Ravet Pune,1003 sqft,₹86.5 Lac,"₹5,966 per sqft",10 out of 16
Shree Sonigara Signature Park E F I And J Buildings,"2 BHK Apartment for Sale in Shree Sonigara Signature Park E F I And J Buildings, Wakad Pune",741 sqft,₹81 Lac,"₹7,714 per sqft",Upper Basement out of 12
Arbor Vista,"2 BHK Apartment for Sale in Arbor Vista, Wakad Pune",755 sqft,₹82 Lac,"₹8,039 per sqft",5 out of 22
Livience Aleenta,"3 BHK Apartment for Sale in Livience Aleenta, Pashan Pune",1500 sqft,₹2.40 Cr,"₹12,365 per sqft",16 out of 34
K Shire,"2 BHK Apartment for Sale in K Shire, Punawale, Pimpri Chinchwad Pune",790 sqft,₹61 Lac,"₹5,722 per sqft",9 out of 18
Austin Park,"2 BHK Apartment for Sale in Austin Park, Tathawade Pimpri Chinchwad Pune",825 sqft,₹70 Lac,"₹6,087 per sqft",12 out of 13
Pride Purple Park Titan,"2 BHK Apartment for Sale in Pride Purple Park Titan, Hinjawadi Pune",774 sqft,₹74 Lac,"₹7,048 per sqft",10 out of 22
Sensorium,"2 BHK Apartment for Sale in Sensorium, Hinjawadi Pune",783 sqft,₹89 Lac,"₹11,367 per sqft",10 out of 31
Majestique Marbella,"2 BHK Apartment for Sale in Majestique Marbella, Ashoka Nagar, Kharadi Pune",824 sqft,₹97 Lac,"₹8,220 per sqft",15 out of 17
,3 BHK Apartment for Sale in Tathawade Pimpri Chinchwad Pune,885 sqft,₹73 Lac,"₹5,840 per sqft",7 out of 16
Godrej Forest Grove,"2 BHK Apartment for Sale in Godrej Forest Grove, Mamurdi, Dehu Road Pune",630 sqft,₹64 Lac,"₹6,874 per sqft",8 out of 22
VTP Dolce Vita,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",855 sqft,₹1.25 Cr,"₹11,241 per sqft",9 out of 32
Pegasus,"2 BHK Apartment for Sale in Pegasus, Kharadi Pune",750 sqft,₹76 Lac,"₹7,238 per sqft",8 out of 15
Majestique Towers,"2 BHK Apartment for Sale in Majestique Towers, Wagholi Pune",824 sqft,₹1.04 Cr,"₹8,739 per sqft",21 out of 22
Rahul Downtown,"2 BHK Apartment for Sale in Rahul Downtown, Punawale, Pimpri Chinchwad Pune",820 sqft,₹64.2 Lac,"₹5,799 per sqft",7 out of 21
Raheja Sterling,"3 BHK Apartment for Sale in Raheja Sterling, NIBM Road Pune",1050 sqft,₹1.10 Cr,"₹8,088 per sqft",15 out of 27
,2 BHK Apartment for Sale in Phase 1 Hinjewadi Rajiv Gandhi Infotech Park Pune,715 sqft,₹77 Lac,"₹7,979 per sqft",Upper Basement out of 19
Sagitarius Bluegrass Residences,"3 BHK Apartment for Sale in Sagitarius Bluegrass Residences, Yerawada, Airport Road Pune",1689 sqft,₹3.45 Cr,"₹14,725 per sqft",11 out of 25
Belmac Residences,"3 BHK Apartment for Sale in Belmac Residences, Wadgaon Sheri Pune",1340 sqft,₹2.25 Cr,"₹12,032 per sqft",11 out of 14
Parmar Avienus,"3 BHK Apartment for Sale in Parmar Avienus, Sopan Baug Society, Ghorpadi Pune",1700 sqft,₹1.90 Cr,"₹9,500 per sqft",8 out of 11
Lush Residences,"3 BHK Apartment for Sale in Lush Residences, Newale Wasti Tathawade Pune",1028 sqft,₹1.18 Cr,"₹8,537 per sqft",1 out of 25
,3 BHK Apartment for Sale in Baner Pune,1215 sqft,₹1.45 Cr,"₹8,683 per sqft",3 out of 7
Nirman Astropolis,"2 BHK Apartment for Sale in Nirman Astropolis, Tathawade Pimpri Chinchwad Pune",889 sqft,₹80 Lac,"₹6,957 per sqft",16 out of 22
Kumar Parth Tower,"2 BHK Apartment for Sale in Kumar Parth Tower, Baner Pune",775 sqft,₹85 Lac,"₹7,727 per sqft",11 out of 25
Gagan Adira,"3 BHK Apartment for Sale in Gagan Adira, Wagholi Pune",1086 sqft,₹90 Lac,"₹5,788 per sqft",5 out of 12
Meriton Tower,"2 BHK Apartment for Sale in Meriton Tower, Ambegaon BK Pune",735 sqft,₹65 Lac,"₹6,552 per sqft",14 out of 14
Nyati Era,"2 BHK Apartment for Sale in Nyati Era, Dhanori Pune",814 sqft,₹71 Lac,"₹8,722 per sqft",5 out of 10
The Balmoral Riverside,"3 BHK Apartment for Sale in The Balmoral Riverside, Balewadi Pune",1405 sqft,₹2.45 Cr,"₹11,667 per sqft",21 out of 40
Suyog Space,"2 BHK Apartment for Sale in Suyog Space, Choudhary Park Shankar Kalat Nagar Pune",772 sqft,₹84 Lac,"₹8,000 per sqft",2 out of 14
,"2 BHK Apartment for Sale in Model Colony, Shivaji Nagar Pune",690 sqft,₹1.45 Cr,"₹13,849 per sqft",3 out of 10
Kolte-Patil Clover Heights,"2 BHK Apartment for Sale in Kolte-Patil Clover Heights, Undri Pune",1050 sqft,₹1.17 Cr,"₹8,667 per sqft",6 out of 12
Kumar Pebble Park,"2 BHK Apartment for Sale in Kumar Pebble Park, Hadapsar Pune",762 sqft,₹57 Lac,"₹5,539 per sqft",7 out of 14
Megapolis Sangria Towers,"3 BHK Apartment for Sale in Megapolis Sangria Towers, Hinjawadi Pune",1215 sqft,₹1.01 Cr,"₹6,159 per sqft",10 out of 21
Mahindra Nestalgia,"4 BHK Apartment for Sale in Mahindra Nestalgia, Nehru Nagar, Pimpri Chinchwad Pune",1462 sqft,₹1.84 Cr,"₹11,220 per sqft",1 out of 23
Mahindra Happinest Tathawade Phase 1,"1 BHK Apartment for Sale in Mahindra Happinest Tathawade Phase 1 , Mahalunge Pune",470 sqft,₹37.8 Lac,"₹5,027 per sqft",17 out of 31
ARV Uthville,"2 BHK Apartment for Sale in ARV Uthville, EON Free Zone, Kharadi Pune",730 sqft,₹77 Lac,"₹7,333 per sqft",5 out of 17
Legacy Imperial Phase I,"2 BHK Apartment for Sale in Legacy Imperial Phase I, Kiwale, Dehu Road Pune",795 sqft,₹52 Lac,"₹4,433 per sqft",8 out of 12
Nyati Esteban I,"4 BHK Apartment for Sale in Nyati Esteban I, Kad Nagar, Undri Pune",2100 sqft,₹1.65 Cr,"₹6,346 per sqft",5 out of 11
